mgt102, Environment of Management, 3.0
mgt148, Special Topics in Finance, 3.0
mgt160, Law and Business, 3.0
mgt168, Special Topics in Business Law, 3.0
mgt173, Marketing Management, 3.0
mgt178, Special Topics in Marketing, 3.0
mgt192, Management of Small Business, 3.0
pm101, The Philippine Administrative System, 3.0
pm113, Administrative Communication, 3.0
pm135, Public Fiscal Administration, 3.0
pm140, Program Administration, 3.0
pm141, Public Administration and Economic Order, 3.0
pm142, Politics and Administration, 3.0
pm146, Administrative Law, 3.0
pm151, Local Government and Administration, 3.0
pm171, Public Administration and Social Change, 3.0
