year, semester, courseName, type, units, lec/lab
1, 1, , ge(ssp), 3, lec
1, 1, , ge(ah), 3, lec
1, 1, chem16, core, 5, lec
1, 1, chem16, core, , lab
1, 1, math17, service, 5, lec
1, 1, math152, service, 3, lec
1, 1, math152, service, , lab
1, 1, pe1, service, 2, lec
1, 1, , nstp, 3, lec
1, 2, , ge(ah), 3, lec
1, 2, , ge(ssp), 3, lec
1, 2, chem17, core, 5, lec
1, 2, chem17, core, , lab
1, 2, math53, service, 5, lec
1, 2, math101, service, 3, lec
1, 2, , pe, 2, lec
1, 2, , nstp, 3, lec
2, 1, , ge(ssp), 3, lec
2, 1, , ge(mst), 3, lec
2, 1, math54, service, 5, lec
2, 1, chem28, core, 3, lec
2, 1, chem28, core, 2, lab
2, 1, physics74, service, 4, lec
2, 1, physics74, service, , lab
2, 1, , pe, 2, lec
2, 2, , ge(ah), 3, lec
2, 2, , ge(ssp), 3, lec
2, 2, chem33, core, 3, lec
2, 2, chem33.1, core, 2, lab
2, 2, physics75, service, 4, lec
2, 2, physics75, service, , lab
2, 2, bio10, service, 5, lec
2, 2, bio10, service, , lab
2, 2, , pe, 2, lec
3, 1, , ge(ah), 3, lec
3, 1, physics76, service, 4, lec
3, 1, physics76, service, , lab
3, 1, chem34, core, 3, lec
3, 1, chem34.1, core, 2, lab
3, 1, chem116, core, 5, lec
3, 1, chem116, core, , lab
3, 2, , ge(ah), 3, lec
3, 2, geo11, service, 3, lec
3, 2, chem117, core, 5, lec
3, 2, chem117, core, , lab
3, 2, chem126, core, 5, lec
3, 2, chem126, core, , lab
3, 2, , elective, 3, lec
3, midyear, chem191, core, 5, lec
4, 1, chem189, core, 3, lec
4, 1, chem189, core, , lab
4, 1, chem115, core, 3, lec
4, 1, chem190, core, 1, lec
4, 1, chem145, core, 3, lec
4, 1, chem145.1, core, 2, lab
4, 1, bio120, service, 3, lec
4, 1, bio120.1, service, 2, lab
4, 2, , elective, 3, lec
4, 2, chem200, core, 3, lec
4, 2, , ge(ssp), 3, lec
4, 2, , ge(mst), 3, lec
4, 2, pi100, service, 3, lec
